datetime,pickups1,pickups17_lag1,pickups17_lag2,pickups1_lag1,pickups1_lag2,pickups21_lag1,pickups21_lag2,pickups28_lag1,pickups28_lag2,temp,prcp,fog,rain_drizzle,time_of_day_afternoon,time_of_day_afternoon rush,time_of_day_evening,time_of_day_lunch time,time_of_day_morning,time_of_day_morning rush,time_of_day_night,is_weekend
2016-01-01 00:00:00,162,202.0,307.0,109.0,171.0,198.0,306.0,40.0,54.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 00:15:00,251,394.0,202.0,162.0,109.0,312.0,198.0,29.0,40.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 00:30:00,310,420.0,394.0,251.0,162.0,699.0,312.0,16.0,29.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 00:45:00,338,310.0,420.0,310.0,251.0,482.0,699.0,3.0,16.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 01:00:00,369,403.0,310.0,338.0,310.0,459.0,482.0,2.0,3.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 01:15:00,319,398.0,403.0,369.0,338.0,495.0,459.0,0.0,2.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 01:30:00,314,353.0,398.0,319.0,369.0,535.0,495.0,2.0,0.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 01:45:00,328,304.0,353.0,314.0,319.0,438.0,535.0,1.0,2.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 02:00:00,346,320.0,304.0,328.0,314.0,449.0,438.0,1.0,1.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 02:15:00,297,356.0,320.0,346.0,328.0,423.0,449.0,0.0,1.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 02:30:00,280,380.0,356.0,297.0,346.0,397.0,423.0,1.0,0.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 02:45:00,282,411.0,380.0,280.0,297.0,408.0,397.0,1.0,1.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 03:00:00,249,397.0,411.0,282.0,280.0,319.0,408.0,2.0,1.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 03:15:00,228,450.0,397.0,249.0,282.0,273.0,319.0,2.0,2.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 03:30:00,198,446.0,450.0,228.0,249.0,239.0,273.0,0.0,2.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 03:45:00,173,435.0,446.0,198.0,228.0,206.0,239.0,4.0,0.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
2016-01-01 04:00:00,165,432.0,435.0,173.0,198.0,172.0,206.0,5.0,4.0,40.4,0.03,0,0,0,0,0,0,0,0,1,False
